name,latitude,longitude,locality,region,postcode,address,date_closed
Heart Coffee Roasters Hq,45.51243582507712,-122.65589613377249,Portland,OR,97214,923 SE Hawthorne Blvd,
Portland Coffee Shop,45.52655991513012,-122.54070410311735,Portland,OR,97220,530 NE 118th Ave,
The Coffee Lab,45.48318288173052,-122.57874257104346,Portland,OR,97266,,
Peets Coffee & Tea,45.43875982751237,-122.78112206855991,Portland,OR,97223,451 SW North Dakota St,
Coffee Kids,45.5045905660466,-122.63031284848113,Portland,OR,97202,3354 SE Division St,
Coffee Express,45.565867384833055,-122.7496783896543,Portland,OR,97210,6215 NW Saint Helens Rd,
City Coffee,45.51557465762093,-122.67539078180909,Portland,OR,97204,101 SW Main St,
Holly Rose Coffee,45.53750757919595,-122.62148464308454,Portland,OR,97212,2035 NE 41st Ave,
Juniors Roasted Coffee,45.55562216093214,-122.58958331816062,Portland,OR,97218,7151 NE Prescott St,
James Bean Coffee,45.516841,-122.675159,Portland,OR,97204,110 SW Yamhill St,2015-07-07
Mocha Romas Coffee Company,45.486743,-122.77166399999999,Portland,OR,97225,9217 SW Beaverton Hillsdale Hwy,
Slowbomb Coffee,45.45479148314621,-122.71571340775104,Portland,OR,97219,9620 SW Barbur Blvd,
Haven Coffee Co.,45.52511878027118,-122.81466886820758,Portland,OR,97229,800 NW Murray Blvd,
Ancestry Coffee,45.51188435368851,-122.61747069213509,Portland,OR,97215,4380 SE Hawthorne Blvd,
Even Keel Coffee Co,45.52435546890043,-122.6708978119772,Portland,OR,97209,38 NW Davis St,
Diedrich Coffee,45.52019995060029,-122.67759000772375,Portland,OR,97204,506 SW 6th Ave,
Less & More Coffee,45.51657422857096,-122.67903685746813,Portland,OR,97204,1003 SW 5th Ave,
Spielmans Coffee & Bagels,45.52961641872149,-122.69893908437435,Portland,OR,97210,2314 NW Lovejoy St,
Water Avenue Coffee Company,45.515129573007684,-122.6656254310669,Portland,OR,97214,1028 SE Water Ave,
Petes Coffee,45.589848987859156,-122.55826500425603,Portland,OR,97220,10100-10198 NE Cascades Pkwy,
Keeper Coffee Co.,45.48998013346521,-122.62001897700951,Portland,OR,97202,4515 SE 41st Ave,
Coffee People,45.59008320527983,-122.59275495217487,Portland,OR,97218,D/E Concourse,2017-07-12
Pep Up Coffee,45.483166,-122.580341,Portland,OR,97206,8040 SE Foster Rd,
Coffee Bean International,45.56919486168082,-122.56869725381623,Portland,OR,97220,8960 NE Alderwood Rd,
Coffee House Your,45.52962512166858,-122.6601666470835,Portland,OR,97214,910 SE Grand Ave,
Slowbomb Coffee,45.485952679306564,-122.72162841730132,Portland,OR,97221,4345 SW Beaverton Hillsdale Hwy,
Badbeards Coffee,45.51948066458649,-122.65733658810704,Portland,OR,,,
Awake Premium Coffee & Energy Drinks,45.49568749603814,-122.53727438752188,Portland,OR,97236,3618 SE 122nd Ave,2024-11-04
Futura Coffee Roasters,45.57005921799384,-122.68245321548766,Portland,OR,97217,1507 N Rosa Parks Way,
Coffee People,45.58953525609836,-122.59803753850478,Portland,OR,97218,Concourse C,2017-09-27
Peets Coffee & Tea,45.523566,-122.68256,Portland,OR,97209,"1114 NW Couch Street,",
Stumptown Coffee Roasters,45.590719,-122.594777,Portland,OR,97218,"Concourse D, PDX",
Grendles Coffee Shop,45.522784296955265,-122.67801010764084,Portland,OR,97209,727 W Burnside St,
Clinton Street Coffeehouse,45.50332196968824,-122.63946768963805,Portland,OR,97214,,
Old Friends Coffee Roasters,45.516305,-122.639951,Portland,OR,97214,2502 SE Belmont St,
Stumptown Coffee Roasters,45.513944692515274,-122.66448516546322,Portland,OR,97214,100 SE Salmon St,
Coffee Club Raleigh Hills,45.49457427177536,-122.74974283020978,Portland,OR,97225,7050 SW Gable Pkwy,
Ristretto Roasters,45.51317424923667,-122.67762550665437,Portland,OR,97201,222 SW Columbia St,2020-12-16
Dutch Bros Coffee,45.5263772570688,-122.66096735490765,Portland,OR,97232,430 NE Lloyd Blvd,
Refuel Coffee,45.501844252688365,-122.67657293753311,Portland,OR,,049 SW Porter St,
Coffee People,45.589177400418336,-122.59351581588454,Portland,OR,97218,Oregon Market,2017-09-27
Prince Coffee,45.52957232601482,-122.69070020977732,Portland,OR,97209,915 NW 19th Ave,
Pizza Afetta & Coffee House,45.49768285324419,-122.66951423204615,Portland,OR,97239,3580 SW River Pkwy,
Lugano Coffee Express,45.51187022676049,-122.6662662773045,Portland,OR,97214,1515 SE Water Ave,
Cloud Cap Coffee Works,45.52275625,-122.66958216666667,Portland,OR,97204,,
Jump Start Coffee,45.485905369348835,-122.76028787438644,Portland,OR,97225,8122 SW Beaverton Hillsdale Hwy,
